phase_id,matter_id,name,status,planned_start,planned_end,actual_start,actual_end,planned_hours,actual_hours,responsible_attorney
1,1,Compliance Review,Completed,2022-11-11,2023-01-15,2022-11-11,2023-01-19,224,258,Noah Elliott
2,1,Gap Analysis,Completed,2023-01-06,2023-03-16,2023-01-06,2023-03-09,224,306,Noah Elliott
3,1,Remediation Plan,Completed,2023-03-16,2023-05-09,2023-03-16,2023-05-14,224,294,Noah Elliott
4,1,Implementation,Delayed,2023-05-08,2023-06-27,2023-05-22,2023-07-01,224,0,Noah Elliott
5,1,Monitoring,Completed,2023-06-19,2023-08-09,2023-06-19,2023-07-26,224,308,Noah Elliott
6,2,Due Diligence,Completed,2023-07-16,2023-08-20,2023-07-16,2023-08-25,931,815,Kimberly Morris
7,2,Negotiation,Completed,2023-08-16,2023-09-21,2023-08-16,2023-09-28,931,1097,Laura Davis
8,2,Documentation,Completed,2023-09-21,2023-10-20,2023-09-21,2023-10-29,931,1035,Kimberly Morris
9,2,Closing,Delayed,2023-10-20,2023-11-15,2023-11-04,2023-11-21,931,0,Laura Davis
10,3,Document Collection,Planned,2024-11-05,2024-12-25,,,195,0,Alyssa Stanton
11,3,Document Review,Planned,2024-12-24,2025-02-09,,,195,0,Christopher Graves
12,3,Interviews,Planned,2025-02-09,2025-03-23,,,195,0,David Williams
13,3,Analysis,Planned,2025-03-23,2025-04-30,,,195,0,David Williams
14,3,Report Preparation,Planned,2025-04-29,2025-06-02,,,195,0,David Williams
15,4,Research,In Progress,2025-02-22,2025-06-23,2025-02-22,,284,391,Sandy Price
16,4,Analysis,Planned,2025-06-23,2025-10-12,,,284,0,Brian Barnes
17,4,Draft Opinion,Planned,2025-10-10,2026-01-21,,,284,0,Christopher Graves
18,4,Client Review,Planned,2026-01-11,2026-04-22,,,284,0,Sandy Price
19,4,Finalization,Planned,2026-04-22,2026-07-12,,,284,0,Brian Barnes
20,5,Case Assessment,Planned,2024-09-20,2024-12-09,,,245,0,Mary Jones
21,5,Discovery,Planned,2024-12-09,2025-02-20,,,245,0,Gary Nelson
22,5,Motion Practice,Planned,2025-02-20,2025-04-28,,,245,0,Rebecca Boyd
23,5,Trial Preparation,Planned,2025-04-28,2025-06-27,,,245,0,Gary Nelson
24,5,Trial,Planned,2025-06-27,2025-08-19,,,245,0,Gary Nelson
25,5,Appeal,Planned,2025-08-19,2025-10-04,,,245,0,Gary Nelson
